Composer;Life Time;Opus;Nr. in Opus;Movement Number;Year;Key;Title;url
Josquin des Prez ;1450-1521;Jos1403;COM;COM;;;Descendi in ortum meum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1403_COM_COM_Descendiin_002_00169.xml
Josquin des Prez ;1450-1521;Jos1404;COM;COM;;;Dilectus Deo et hominibus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1404_COM_COM_DilectusDe_002_00170.xml
Josquin des Prez ;1450-1521;Jos1405;COM;COM;;;Ecce Dominus veniet;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1405_COM_COM_EcceDominu_002_00171.xml
Josquin des Prez ;1450-1521;Jos1406;COM;COM;;;Ecce tu pulchra es;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1406_COM_COM_Eccetupulc_002_00172.xml
Josquin des Prez ;1450-1521;Jos1407;COM;COM;;;Lugebat David Absalon;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1407_COM_COM_LugebatDav_002_00173.xml
Josquin des Prez ;1450-1521;Jos1408;COM;COM;;;Miserimini mei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1408_COM_COM_Miserimini_002_00174.xml
Josquin des Prez ;1450-1521;Jos1409;COM;COM;;;Planxit autem David;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1409_COM_COM_Planxitaut_002_00175.xml
Josquin des Prez ;1450-1521;Jos1410;COM;COM;;;Quam pulchra es;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1410_COM_COM_Quampulchr_002_00176.xml
Josquin des Prez ;1450-1521;Jos1411;COM;COM;;;Qui edunt me;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1411_COM_COM_Quieduntme_002_00177.xml
Josquin des Prez ;1450-1521;Jos1412;COM;COM;;;Responde mihi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1412_COM_COM_Respondemi_002_00178.xml
Josquin des Prez ;1450-1521;Jos1413;COM;COM;;;Si dormiero;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1413_COM_COM_Sidormiero_002_00179.xml
Josquin des Prez ;1450-1521;Jos1414;COM;COM;;;Stetit autem Salomon;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1414_COM_COM_Stetitaute_002_00180.xml
Josquin des Prez ;1450-1521;Jos1501;COM;COM;;;Alleluia. Laudate Dominum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1501_COM_COM_AlleluiaLa_002_00181.xml
Josquin des Prez ;1450-1521;Jos1502;COM;COM;;;Beati omnes;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1502_COM_COM_Beatiomnes_002_00182.xml
Josquin des Prez ;1450-1521;Jos1503;COM;COM;;;Beati omnes;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1503_COM_COM_Beatiomnes_002_00183.xml
Josquin des Prez ;1450-1521;Jos1505;COM;COM;;;Bonitatem fecisti cum servo tuo;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1505_COM_COM_Bonitatemf_002_00184.xml
Josquin des Prez ;1450-1521;Jos1506;COM;COM;;;Cantate Domino canticum novum;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1506_COM_COM_CantateDom_002_00185.xml
Josquin des Prez ;1450-1521;Jos1507;COM;COM;;;Celi enarrant gloriam dei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1507_COM_COM_Celienarra_002_00186.xml
Josquin des Prez ;1450-1521;Jos1508;COM;COM;;;Clamavi ad dominum cum tribularer;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1508_COM_COM_Clamaviadd_002_00187.xml
Josquin des Prez ;1450-1521;Jos1509;COM;COM;;;Confitemini Domino;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1509_COM_COM_Confitemin_002_00188.xml
Josquin des Prez ;1450-1521;Jos1510;COM;COM;;;Conserva me domine;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1510_COM_COM_Conservame_002_00189.xml
Josquin des Prez ;1450-1521;Jos1511;COM;COM;;;De profundis clamavi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1511_COM_COM_Deprofundi_002_00190.xml
Josquin des Prez ;1450-1521;Jos1512;COM;COM;;;De profundis clamavi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1512_COM_COM_Deprofundi_002_00191.xml
Josquin des Prez ;1450-1521;Jos1513;COM;COM;;;De profundis clamavi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1513_COM_COM_Deprofundi_002_00192.xml
Josquin des Prez ;1450-1521;Jos1514;COM;COM;;;De profundis clamavi;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1514_COM_COM_Deprofundi_002_00193.xml
Josquin des Prez ;1450-1521;Jos1601;COM;COM;;;Deus in adiutorium;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1601_COM_COM_Deusinadiu_002_00194.xml
